id,q1,q2,q3_1,q3_2,q3_3,q4_1,q4_2,q4_3,q5_1,q5_2,q5_3,q6,q7,q8_1,q8_2,q8_3,q8_4,q9,q10,sex,age,area,job,inc,edu,wt
1.0,각종 의혹 해소,대체로 관심이 있다,인권,평화,정의,사회갈등 해소를 위한 국민 통합,출산율 제고와 양육 문제,사회 불공정 타파,한반도 평화와 통일 프로세스 구축,고령화 저출산 문제 해결,경제 양극화 해소,김대중(15대),세계평화와 상생,그렇지 않다,보통,전혀 그렇지 않다,보통,중위,진보,여자,66.0,전남,전업 주부,200만원~300만원 미만,대학교 (4년제) 졸업,0.852
2.0,공약 실천 방안 마련,대체로 관심이 있다,평화,혁신,상생,입시 제도 등 교육 개혁,사회갈등 해소를 위한 국민 통합,부동산 안정,신규 일자리 창출,신성장동력 첨단기술 육성,한반도 평화와 통일 프로세스 구축,박정희(5~9대),새마을운동 잘살아보세,그렇다,그렇다,그렇다,그렇다,중위,보수,남자,53.0,서울,서비스직,200만원~300만원 미만,"대학(2,3년제) 졸업",0.905
3.0,국민 통합,별로 관심이 없다,통합,회복,평화,사회갈등 해소를 위한 국민 통합,일자리 창출 등 경제 활성화,출산율 제고와 양육 문제,경제 양극화 해소,정치적 갈등 해소방안 마련,고령화 저출산 문제 해결,노무현(16대),국민통합이 중요한 숙제이다,그렇다,그렇다,그렇다,그렇다,중위,중도,남자,19.0,충남,학생,300만원~400만원 미만,대학교 (4년제) 재학,1.0
4.0,국민 통합,매우 관심이 있다,인권,안전,통합,부정부패 척결,사회 불공정 타파,부동산 안정,정치적 갈등 해소방안 마련,"차별, 혐오 등 사회 불평등 해소",고령화 저출산 문제 해결,박정희(5~9대),경제 발전,보통,그렇다,보통,그렇다,하위,중도,남자,58.0,서울,기술/기능직,400만원~500만원 미만,고등학교 졸업,0.905
5.0,공약 실천 방안 마련,별로 관심이 없다,회복,안전,상생,일자리 창출 등 경제 활성화,출산율 제고와 양육 문제,사회갈등 해소를 위한 국민 통합,고령화 저출산 문제 해결,신규 일자리 창출,경제 양극화 해소,이명박(17대),실용정부 작은정부,그렇지 않다,그렇지 않다,그렇지 않다,보통,중하위,진보,남자,28.0,충북,무직/실업상태,200만원~300만원 미만,고등학교 졸업,1.0
6.0,국민 통합,대체로 관심이 있다,안전,정의,인권,물가 및 서민 생활 안정,일자리 창출 등 경제 활성화,부동산 안정,경제 양극화 해소,"차별, 혐오 등 사회 불평등 해소",한반도 평화와 통일 프로세스 구축,박정희(5~9대),새마을완수및 고속도로완수,보통,보통,그렇다,그렇다,중하위,잘 모름,여자,67.0,인천,전업 주부,300만원~400만원 미만,고등학교 졸업,1.019
8.0,공약 실천 방안 마련,매우 관심이 있다,상생,공정,평화,국제외교 및 남북관계 긴장 완화,사회 불공정 타파,일자리 창출 등 경제 활성화,한반도 평화와 통일 프로세스 구축,경제 양극화 해소,고령화 저출산 문제 해결,노무현(16대),번영의 공동체를 이룩하고 이를 통해 평화의 공동체로 발전해야 합니다.반칙과 특권이 용납되는 시대는 이제 끝나야 합니다.,보통,그렇다,그렇다,그렇다,중위,중도,여자,52.0,전남,전업 주부,400만원~500만원 미만,대학교 (4년제) 졸업,0.923
9.0,국민 통합,매우 관심이 있다,공정,통합,정의,일자리 창출 등 경제 활성화,지역 균형 발전,사회 불공정 타파,정치적 갈등 해소방안 마련,"차별, 혐오 등 사회 불평등 해소",신성장동력 첨단기술 육성,김대중(15대),"혁명의시대 인간혁명, 농업혁명, 도시혁명, 사상혁명, 산업혁명 둥 5대혁명",보통,그렇다,그렇다,그렇다,중위,중도,여자,82.0,서울,자영업주(9인이하 고용),400만원~500만원 미만,고등학교 졸업,1.143
10.0,국가 비전 제시,대체로 관심이 있다,정의,인권,공정,출산율 제고와 양육 문제,국제외교 및 남북관계 긴장 완화,지역 균형 발전,고령화 저출산 문제 해결,신성장동력 첨단기술 육성,지역 균형 발전,없다,없음/무응답/기억안남,그렇지 않다,그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,중하위,중도,여자,65.0,전북,전업 주부,200만원~300만원 미만,고등학교 졸업,0.852
11.0,국민 통합,매우 관심이 있다,통합,혁신,공정,부동산 안정,일자리 창출 등 경제 활성화,부정부패 척결,신성장동력 첨단기술 육성,신규 일자리 창출,경제 양극화 해소,없다,기억에남진않어나  많은 공감을얻었다,그렇지 않다,그렇지 않다,그렇지 않다,그렇지 않다,중하위,매우 보수,여자,72.0,충남,전업 주부,100만원 미만,고등학교 졸업,1.357
