"시도별(1)",시도별(2),운영방식,스테이션 개소 (개),자전거보유 (대),대여실적 (건)
"서울특별시",본청,위탁,2762,45000,44905313
"서울특별시",성동구,위탁,2,213,6261
"서울특별시",광진구,위탁,1,30,934
"서울특별시",노원구,위탁,3,191,11838
"서울특별시",금천구,직영,1,143,4898
"서울특별시",관악구,위탁,1,70,11200
"서울특별시",서초구,직영,1,20,383
"서울특별시",강남구,직영,2,310,1320
"부산광역시",본청,위탁,4,769,44439
"부산광역시",금정구,직영,1,40,1075
"부산광역시",연제구,직영,1,45,2711
"부산광역시",수영구,직영,1,85,10895
"부산광역시",동래구,직영,1,83,2909
"부산광역시",기장군,직영,7,100,21509
"대구광역시",본청,직영,39,310,13951
"대구광역시",서구,직영,1,63,3104
"인천광역시",남동구,위탁,1,114,3468
"광주광역시",본청-무인,직영,52,369,21412
"광주광역시",동구,직영,13,17,12
"광주광역시",서구,직영,19,131,766
"광주광역시",남구,직영,1,31,98
"광주광역시",북구,직영,5,81,416
"광주광역시",광산구,직영,9,87,229
"대전광역시",본청,위탁,1150,2500,4304200
"울산광역시",중구,위탁,2,416,31009
"세종특별자치시",소계,위탁,671,3422,2453124
"경기도",수원시,위탁,3,215,14495
"경기도",부천시,직영,5,218,10242
"경기도",평택시,직영,2,147,34098
"경기도",시흥시,직영,2,284,2888
"경기도",오산시,직영,2,202,12540
"경기도",과천시,위탁,8,160,9295
"강원특별자치도",원주시,직영,36,150,41579
"강원특별자치도",화천군,직영,1,84,401
"강원특별자치도",고성군,직영,2,88,7397
"충청북도",충주시,직영,26,80,-
"충청북도",괴산군,직영,2,20,131
"충청남도",소계,-,37,799,210873
"충청남도",보령시,직영,10,100,10852
"충청남도",공주시,직영,21,176,147375
"충청남도",아산시,위탁,2,395,43903
"충청남도",당진시,직영,1,76,3440
"충청남도",부여군,직영,3,52,5303
"전북특별자치도",전주시,위탁,10,404,22066
"전북특별자치도",군산시,위탁,10,100,10023
"전북특별자치도",익산시,직영,2,100,8610
"전북특별자치도",정읍시,직영,1,12,71
"전북특별자치도",남원시,직영,3,40,404
"전라남도",여수시,직영,45,300,101283
"전라남도",순천시,직영,54,400,159440
"전라남도",나주시,위탁,1,71,9967
"전라남도",광양시,직영,2,75,1383
"전라남도",담양군,직영,1,24,1124
"전라남도",고흥군,직영,1,21,1618
"전라남도",강진군,위탁,1,122,2829
"전라남도",무안군,직영,36,100,3262
"경상북도",포항시,위탁,4,82,10708
"경상북도",경주시,위탁,100,300,89498
"경상북도",안동시,위탁,4,163,14434
"경상북도",구미시,직영,2,459,68312
"경상북도",영주시,직영,8,186,14515
"경상북도",상주시,직영,1,127,1187
"경상북도",문경시,직영,1,55,-
"경상북도",예천군,직영,11,200,129507
"경상남도",창원시,위탁/무인,342,4417,3891591
"경상남도",진주시,위탁,4,286,33196
"경상남도",김해시,직영,11,105,3997
"경상남도",양산시,직영,11,110,7368
"경상남도",거창군,직영,16,123,52727
"제주특별자치도",제주시,위탁,22,36,2539
