"구분(1)",구분(2),구분(3),구분(4),2024.05,2024.06,2024.07,2024.08,2024.09,2024.10
"도시대기",서울특별시,중구,중구,24,25,18,22,16,20
"도시대기",서울특별시,종로구,종로구,30,29,20,23,16,22
"도시대기",서울특별시,중랑구,중랑구,26,28,21,25,16,19
"도시대기",서울특별시,동대문구,동대문구,31,32,23,28,19,24
"도시대기",서울특별시,은평구,은평구,31,32,21,23,15,22
"도시대기",서울특별시,마포구,마포구,30,31,21,26,17,24
"도시대기",서울특별시,영등포구,영등포구,28,28,20,25,17,24
"도시대기",서울특별시,동작구,동작구,29,31,21,25,17,23
"도시대기",서울특별시,관악구,관악구,33,34,24,28,19,27
"도시대기",서울특별시,강남구,강남구,29,31,21,27,17,22
"도시대기",서울특별시,금천구,금천구,28,28,20,25,14,19
"도시대기",서울특별시,강동구,강동구,28,29,19,22,16,22
"도시대기",서울특별시,강북구,강북구,25,27,19,24,15,19
"도시대기",서울특별시,성북구,성북구,31,33,21,23,15,24
"도시대기",서울특별시,용산구,용산구,34,34,22,27,19,25
"도시대기",서울특별시,광진구,광진구,30,32,22,26,17,20
"도시대기",서울특별시,성동구,성동구,30,30,20,25,17,22
"도시대기",서울특별시,도봉구,도봉구,28,27,16,19,15,21
"도시대기",서울특별시,서대문구,서대문구,32,32,20,22,13,21
"도시대기",서울특별시,구로구,구로구,34,34,18,20,12,23
"도시대기",서울특별시,서초구,서초구,37,36,20,23,14,28
"도시대기",서울특별시,강서구,강서구,32,31,20,24,16,26
"도시대기",서울특별시,송파구,송파구,31,33,22,27,18,23
"도시대기",서울특별시,양천구,양천구,30,28,18,22,16,25
"도시대기",서울특별시,노원구,노원구,30,31,22,25,17,24
"도시대기",부산광역시,중구,광복동,26,24,13,16,12,14
"도시대기",부산광역시,남구,대연동,26,26,16,19,15,15
"도시대기",부산광역시,남구,용호동,25,24,13,16,12,15
"도시대기",부산광역시,사상구,학장동,33,30,19,23,19,23
"도시대기",부산광역시,사상구,덕포동,29,29,16,20,17,21
"도시대기",부산광역시,북구,덕천동,29,29,17,20,17,19
"도시대기",부산광역시,북구,화명동,29,28,17,21,16,17
"도시대기",부산광역시,사하구,장림동,33,29,17,25,19,20
"도시대기",부산광역시,사하구,당리동,29,29,18,20,16,19
"도시대기",부산광역시,부산진구,전포동,30,28,17,21,17,20
"도시대기",부산광역시,부산진구,개금동,30,30,19,23,18,21
"도시대기",부산광역시,연제구,연산동,25,24,15,18,14,17
"도시대기",부산광역시,영도구,태종대,25,22,13,20,15,18
"도시대기",부산광역시,영도구,청학동,25,22,11,17,13,15
"도시대기",부산광역시,금정구,청룡동,24,24,12,16,13,15
"도시대기",부산광역시,금정구,부곡동,24,24,13,18,14,15
"도시대기",부산광역시,금정구,회동동,25,25,15,19,15,17
"도시대기",부산광역시,해운대구,좌동,31,30,14,16,13,15
"도시대기",부산광역시,해운대구,재송동,25,23,11,15,13,15
"도시대기",부산광역시,강서구,대저동,26,27,15,20,15,17
"도시대기",부산광역시,강서구,녹산동,30,29,20,22,17,20
"도시대기",부산광역시,강서구,명지동,30,28,14,21,17,21
