"구분(1)",구분(2),구분(3),구분(4),2024.05,2024.06,2024.07,2024.08,2024.09,2024.10
"도시대기",서울특별시,중구,중구,16,18,11,17,9,13
"도시대기",서울특별시,종로구,종로구,16,19,13,17,10,14
"도시대기",서울특별시,중랑구,중랑구,16,19,12,17,9,11
"도시대기",서울특별시,동대문구,동대문구,16,18,13,18,10,13
"도시대기",서울특별시,은평구,은평구,17,19,14,15,10,12
"도시대기",서울특별시,마포구,마포구,15,18,13,17,10,13
"도시대기",서울특별시,영등포구,영등포구,16,19,14,18,11,14
"도시대기",서울특별시,동작구,동작구,15,18,13,17,10,13
"도시대기",서울특별시,관악구,관악구,16,19,13,18,11,14
"도시대기",서울특별시,강남구,강남구,16,20,14,19,11,12
"도시대기",서울특별시,금천구,금천구,13,16,10,16,11,14
"도시대기",서울특별시,강동구,강동구,13,15,12,16,9,13
"도시대기",서울특별시,강북구,강북구,14,17,12,17,9,12
"도시대기",서울특별시,성북구,성북구,15,17,12,14,8,13
"도시대기",서울특별시,용산구,용산구,17,19,14,20,11,14
"도시대기",서울특별시,광진구,광진구,15,18,13,17,9,11
"도시대기",서울특별시,성동구,성동구,15,18,13,18,10,12
"도시대기",서울특별시,도봉구,도봉구,15,16,10,13,8,13
"도시대기",서울특별시,서대문구,서대문구,15,16,10,13,7,12
"도시대기",서울특별시,구로구,구로구,17,19,11,13,6,12
"도시대기",서울특별시,서초구,서초구,16,18,10,13,7,14
"도시대기",서울특별시,강서구,강서구,15,17,12,17,10,14
"도시대기",서울특별시,송파구,송파구,15,18,12,18,10,12
"도시대기",서울특별시,양천구,양천구,14,17,12,17,10,14
"도시대기",서울특별시,노원구,노원구,17,18,13,17,9,13
"도시대기",부산광역시,중구,광복동,14,16,8,9,7,8
"도시대기",부산광역시,남구,대연동,11,14,5,8,5,6
"도시대기",부산광역시,남구,용호동,13,15,6,9,5,7
"도시대기",부산광역시,사상구,학장동,16,18,10,14,10,12
"도시대기",부산광역시,사상구,덕포동,15,18,9,14,11,13
"도시대기",부산광역시,북구,덕천동,14,16,7,10,7,8
"도시대기",부산광역시,북구,화명동,14,16,8,11,7,7
"도시대기",부산광역시,사하구,장림동,14,15,7,11,7,8
"도시대기",부산광역시,사하구,당리동,14,16,8,11,8,9
"도시대기",부산광역시,부산진구,전포동,15,16,9,13,8,9
"도시대기",부산광역시,부산진구,개금동,16,19,9,10,7,8
"도시대기",부산광역시,연제구,연산동,14,16,10,13,9,10
"도시대기",부산광역시,영도구,태종대,10,10,6,9,7,9
"도시대기",부산광역시,영도구,청학동,11,12,5,9,6,7
"도시대기",부산광역시,금정구,청룡동,13,16,6,10,7,8
"도시대기",부산광역시,금정구,부곡동,14,16,8,12,8,7
"도시대기",부산광역시,금정구,회동동,15,17,9,13,10,10
"도시대기",부산광역시,해운대구,좌동,12,15,7,9,7,8
"도시대기",부산광역시,해운대구,재송동,14,15,7,10,7,8
"도시대기",부산광역시,강서구,대저동,14,15,5,11,8,10
"도시대기",부산광역시,강서구,녹산동,18,20,13,14,11,12
"도시대기",부산광역시,강서구,명지동,17,18,9,13,10,12
"도시대기",부산광역시,기장군,기장읍,14,16,8,11,7,8
"도시대기",부산광역시,기장군,용수리,12,15,7,10,7,7
"도시대기",부산광역시,수영구,광안동,14,16,7,10,8,-
"도시대기",부산광역시,동래구,명장동,16,19,11,15,11*,-
"도시대기",부산광역시,동구,수정동,11,13,7,9,6,5
"도시대기",부산광역시,서구,대신동,14,16,8,11,8,9
"도시대기",대구광역시,군위군,군위읍,11,12,6,8,6,7
"도시대기",대구광역시,중구,수창동,13,14,8,9,7,10
"도시대기",대구광역시,중구,남산1동,13,15,9,10,9,11
"도시대기",대구광역시,서구,이현동,16,16,10,11,9,10
